timestamp,title,price,availability
2026-01-28 12-47-56,A Light in the Attic,51.77,In stock
2026-01-28 12-47-56,Tipping the Velvet,53.74,In stock
2026-01-28 12-47-56,Soumission,50.1,In stock
2026-01-28 12-48-37,A Light in the Attic,51.77,In stock
2026-01-28 12-48-37,Tipping the Velvet,53.74,In stock
2026-01-28 12-48-37,Soumission,50.1,In stock
2026-01-28 12-48-37,Sharp Objects,47.82,In stock
2026-01-28 12-48-37,Sapiens: A Brief History of Humankind,54.23,In stock
2026-01-28 12-48-37,The Requiem Red,22.65,In stock
2026-01-28 12-48-37,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock
2026-01-28 12-48-37,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock
2026-01-28 12-48-37,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock
2026-01-28 12-48-37,The Black Maria,52.15,In stock
2026-01-28 12-48-37,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock
2026-01-28 12-48-37,Shakespeare's Sonnets,20.66,In stock
2026-01-28 12-48-37,Set Me Free,17.46,In stock
2026-01-28 12-48-37,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock
2026-01-28 12-48-37,Rip it Up and Start Again,35.02,In stock
2026-01-28 12-48-37,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock
2026-01-28 12-48-37,Olio,23.88,In stock
2026-01-28 12-48-37,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock
2026-01-28 12-48-37,Libertarianism for Beginners,51.33,In stock
2026-01-28 12-48-37,It's Only the Himalayas,45.17,In stock
2026-01-28 12-50-26,A Light in the Attic,51.77,In stock
2026-01-28 12-50-26,Tipping the Velvet,53.74,In stock
2026-01-28 12-50-26,Soumission,50.1,In stock
2026-01-28 12-50-26,Sharp Objects,47.82,In stock
2026-01-28 12-50-26,Sapiens: A Brief History of Humankind,54.23,In stock
2026-01-28 12-50-26,The Requiem Red,22.65,In stock
2026-01-28 12-50-26,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock
2026-01-28 12-50-26,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock
2026-01-28 12-50-26,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock
2026-01-28 12-50-26,The Black Maria,52.15,In stock
2026-01-28 12-50-26,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock
2026-01-28 12-50-26,Shakespeare's Sonnets,20.66,In stock
2026-01-28 12-50-26,Set Me Free,17.46,In stock
2026-01-28 12-50-26,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock
2026-01-28 12-50-26,Rip it Up and Start Again,35.02,In stock
2026-01-28 12-50-26,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock
2026-01-28 12-50-26,Olio,23.88,In stock
2026-01-28 12-50-26,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock
2026-01-28 12-50-26,Libertarianism for Beginners,51.33,In stock
2026-01-28 12-50-26,It's Only the Himalayas,45.17,In stock
